onset	duration	trial_type	trial_phase	score	score_txt	stim_dot_position	targetxdat	latency	eptrno
7.5	1.5	neutral	cue	n/a	n/a	n/a	171	n/a	5
9.0	3.0	neutral	prep	n/a	n/a	n/a	171	n/a	5
12.0	1.5	neutral	resp	1	CORRECT	7	171	0.733	5
24.0	1.5	neutral	cue	n/a	n/a	n/a	176	n/a	13
25.5	3.0	neutral	prep	n/a	n/a	n/a	176	n/a	13
28.5	1.5	neutral	resp	1	CORRECT	633	176	0.533	13
40.5	1.5	reward	cue	n/a	n/a	n/a	183	n/a	21
42.0	3.0	reward	prep	n/a	n/a	n/a	183	n/a	21
45.0	1.5	reward	resp	1	CORRECT	214	183	0.4	21
51.0	1.5	reward	cue	n/a	n/a	n/a	184	n/a	25
52.5	3.0	reward	prep	n/a	n/a	n/a	184	n/a	25
55.5	1.5	reward	resp	1	CORRECT	426	184	0.417	25
69.0	1.5	neutral	cue	n/a	n/a	n/a	175	n/a	34
70.5	3.0	neutral	prep	n/a	n/a	n/a	175	n/a	34
73.5	1.5	neutral	resp	1	CORRECT	532	175	0.55	34
84.0	1.5	reward	cue	n/a	n/a	n/a	186	n/a	41
85.5	3.0	reward	prep	n/a	n/a	n/a	186	n/a	41
88.5	1.5	reward	resp	1	CORRECT	633	186	0.483	41
96.0	1.5	reward	cue	n/a	n/a	n/a	181	n/a	46
97.5	3.0	reward	prep	n/a	n/a	n/a	181	n/a	46
100.5	1.5	reward	resp	1	CORRECT	7	181	0.417	46
109.5	3.0	vgs	prep	n/a	n/a	n/a	164	n/a	51
112.5	1.5	vgs	resp	1	CORRECT	426	164	0.4	51
117.0	1.5	neutral	cue	n/a	n/a	n/a	173	n/a	56
118.5	3.0	neutral	prep	n/a	n/a	n/a	173	n/a	56
121.5	1.5	neutral	resp	2	ERROR_CORRECTED	214	173	0.433	56
130.5	3.0	vgs	prep	n/a	n/a	n/a	161	n/a	61
133.5	1.5	vgs	resp	1	CORRECT	7	161	0.433	61
144.0	1.5	reward	cue	n/a	n/a	n/a	182	n/a	70
145.5	3.0	reward	prep	n/a	n/a	n/a	182	n/a	70
148.5	1.5	reward	resp	0	INCORRECT	108	182	0.267	70
156.0	1.5	reward	cue	n/a	n/a	n/a	185	n/a	75
157.5	3.0	reward	prep	n/a	n/a	n/a	185	n/a	75
160.5	1.5	reward	resp	1	CORRECT	532	185	0.55	75
174.0	3.0	vgs	prep	n/a	n/a	n/a	163	n/a	83
177.0	1.5	vgs	resp	0	INCORRECT	214	163	0.5	83
178.5	1.5	neutral	cue	n/a	n/a	n/a	174	n/a	86
180.0	3.0	neutral	prep	n/a	n/a	n/a	174	n/a	86
183.0	1.5	neutral	resp	1	CORRECT	426	174	0.467	86
189.0	1.5	neutral	cue	n/a	n/a	n/a	172	n/a	90
190.5	3.0	neutral	prep	n/a	n/a	n/a	172	n/a	90
193.5	1.5	neutral	resp	-1	DROP	108	172	-0.001	90
207.0	1.5	reward	cue	n/a	n/a	n/a	184	n/a	99
208.5	3.0	reward	prep	n/a	n/a	n/a	184	n/a	99
211.5	1.5	reward	resp	1	CORRECT	426	184	0.583	99
222.0	1.5	reward	cue	n/a	n/a	n/a	182	n/a	106
223.5	3.0	reward	prep	n/a	n/a	n/a	182	n/a	106
226.5	1.5	reward	resp	1	CORRECT	108	182	0.333	106
232.5	1.5	neutral	cue	n/a	n/a	n/a	173	n/a	110
234.0	3.0	neutral	prep	n/a	n/a	n/a	173	n/a	110
237.0	1.5	neutral	resp	2	ERROR_CORRECTED	214	173	0.333	110
243.0	3.0	vgs	prep	n/a	n/a	n/a	165	n/a	113
246.0	1.5	vgs	resp	0	INCORRECT	532	165	0.583	113
247.5	1.5	reward	cue	n/a	n/a	n/a	183	n/a	116
249.0	3.0	reward	prep	n/a	n/a	n/a	183	n/a	116
252.0	1.5	reward	resp	2	ERROR_CORRECTED	214	183	0.2	116
265.5	3.0	vgs	prep	n/a	n/a	n/a	162	n/a	124
268.5	1.5	vgs	resp	1	CORRECT	108	162	0.35	124
276.0	1.5	reward	cue	n/a	n/a	n/a	185	n/a	131
277.5	3.0	reward	prep	n/a	n/a	n/a	185	n/a	131
280.5	1.5	reward	resp	1	CORRECT	532	185	0.483	131
285.0	1.5	neutral	cue	n/a	n/a	n/a	171	n/a	134
286.5	3.0	neutral	prep	n/a	n/a	n/a	171	n/a	134
289.5	1.5	neutral	resp	1	CORRECT	7	171	0.483	134
298.5	1.5	neutral	cue	n/a	n/a	n/a	174	n/a	140
300.0	3.0	neutral	prep	n/a	n/a	n/a	174	n/a	140
303.0	1.5	neutral	resp	1	CORRECT	426	174	0.483	140
307.5	1.5	neutral	cue	n/a	n/a	n/a	176	n/a	143
309.0	3.0	neutral	prep	n/a	n/a	n/a	176	n/a	143
312.0	1.5	neutral	resp	1	CORRECT	633	176	0.533	143
